Geographic_area,Indicator,Service_Type,Residence,Time_period,Observation_Value,ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level,Residence_type,Service_type,Service_level,country_name,indicator_name,value,year
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2019.0,22.87234042553191,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2020.0,22.87234042553191,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2021.0,22.87234042553191,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2017.0,61.70212765957447,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2018.0,61.70212765957447,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2019.0,61.70212765957447,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2020.0,61.70212765957447,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2021.0,61.70212765957447,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2017.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2018.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2019.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2020.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2021.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2017.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2018.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2019.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2020.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2021.0,43.47345132743362,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2017.0,28.0800252844499,,,,,,,,,,,,,,,
