unnamed: 2,unnamed: 11,source,geographic_area,indicator,service_type,residence,time_period,observation_value,geographic area,service type,type of school,unit of measure,obs_value,data_source,iso3,country,residence type,year,coverage,population,service level,residence_type,service_level,country_name,indicator_name,value
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2018.0,22.66288951841359,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2019.0,22.66288951841359,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2020.0,22.66288951841359,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2021.0,22.66288951841359,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2017.0,38.8101983002833,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2018.0,38.8101983002833,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2019.0,38.8101983002833,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2020.0,38.8101983002833,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2021.0,38.8101983002833,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2017.0,5.271317829457365,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2018.0,5.271317829457365,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2019.0,5.271317829457365,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2020.0,5.271317829457365,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2021.0,5.271317829457365,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2017.0,15.96899224806202,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2018.0,15.96899224806202,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2019.0,15.96899224806202,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2020.0,15.96899224806202,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2021.0,15.96899224806202,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2017.0,78.7596899224806,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2018.0,78.7596899224806,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2019.0,78.7596899224806,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2020.0,78.7596899224806,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2021.0,78.7596899224806,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2017.0,61.111111111111114,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2018.0,61.111111111111114,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2019.0,61.111111111111114,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2020.0,61.111111111111114,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2021.0,61.111111111111114,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2017.0,21.21212121212123,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2018.0,21.21212121212123,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2019.0,21.21212121212123,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2020.0,21.21212121212123,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2021.0,21.21212121212123,,,,,,,,,,,,,,,,,,
